rownum,ISSUENO,ISSUEDATE,ISSUETIME,VIODESCRIPTION,LOCATIONDESC1,CityState,geo_longitude,geo_latitude,geo_accuracy
571341,465051786,10/6/2012,3:39:00,NIGHT PARKING,2927 N CRAMER ST,"Milwaukee, WI",-87.8867774050125,43.0715534591483,house
688896,466262112,12/5/2012,2:47:00,NIGHT PARKING - WINTER RESTRICTED,1570 S 6TH ST,"Milwaukee, WI",-87.9183406922924,43.0147376927425,house
14570,459442620,1/7/2012,5:00:00,NIGHT PARKING,547 N 20TH ST,"Milwaukee, WI",-87.9380212470657,43.0367687755265,house
608649,465574793,10/25/2012,14:23:00,METER PARKING VIOLATION,606 E MICHIGAN ST,"Milwaukee, WI",-87.9036606689114,43.037757353041,house
323603,462586246,6/5/2012,5:00:00,NIGHT PARKING,2772 N 41ST ST,"Milwaukee, WI",-87.9644020689244,43.0691742636978,house
16043,662368453,1/8/2012,1:04:00,PARKING PROHIBITED BY OFFICIAL SIGN,703 N 24TH ST,"Milwaukee, WI",-87.9430058570325,43.0388405919568,house
162445,460857810,3/17/2012,5:40:00,NIGHT PARKING - WRONG SIDE,3421 N 9TH ST,"Milwaukee, WI",-87.9225148487426,43.0805394632418,house
451241,463375043,8/9/2012,3:38:00,NIGHT PARKING,3414 N 47TH ST,"Milwaukee, WI",-87.9724317413817,43.0814300085382,house
284719,461944943,5/16/2012,15:25:00,METER PARKING VIOLATION,741 N 9TH ST,"Milwaukee, WI",-87.9232148713955,43.0394127841678,house
123005,460255180,2/28/2012,5:39:00,NIGHT PARKING - WRONG SIDE,3450 N 95TH ST,"Milwaukee, WI",-88.0309258277263,43.0814569793457,house
380588,463278546,7/3/2012,2:44:00,NIGHT PARKING,2926 N NEWHALL ST,"Milwaukee, WI",-87.8902313945005,43.0715908941538,house
377506,462990850,7/2/2012,12:33:00,PARKED LESS THAN 15 FEET FROM CROSSWALK,305 E ST PAUL AVE,"Milwaukee, WI",-87.9071848992134,43.0349675500513,house
665474,466096713,11/23/2012,16:04:00,METER PARKING VIOLATION,329 W MICHIGAN ST,"Milwaukee, WI",-87.9150257153931,43.0373090195939,house
730015,466022524,12/24/2012,19:25:00,PARKING PROHIBITED BY OFFICIAL SIGN,3317 W GALENA ST,"Milwaukee, WI",-87.9555767981565,43.0513926900948,house
576223,465070616,10/9/2012,21:12:00,PARKED POSTED PRIVATE PROPERTY,1101 N MARKET ST,"Milwaukee, WI",-87.9098100599537,43.044045450216,house
139683,460791903,3/7/2012,2:56:00,NIGHT PARKING,3016 E KENWOOD BLVD,"Milwaukee, WI",-87.8730032897636,43.0747079214424,house
675893,466091975,11/29/2012,13:55:00,METER PARKING VIOLATION,1921 N FARWELL AVE,"Milwaukee, WI",-87.8898274705461,43.0556718272361,house
467188,464043554,8/17/2012,4:35:00,NIGHT PARKING,622 E CONWAY ST,"Milwaukee, WI",-87.9019273498542,43.000752,house
131182,460524466,3/2/2012,12:09:00,METER PARKING VIOLATION,800 W STATE ST AVE,"Milwaukee, WI",,,
685092,466281001,12/4/2012,4:48:00,NIGHT PARKING - WRONG SIDE,432 S 89TH ST,"Milwaukee, WI",-88.0232228841748,43.0273303054697,house
497065,464381610,9/1/2012,3:47:00,NIGHT PARKING - WRONG SIDE,4110 W ROOSEVELT DR,"Milwaukee, WI",-87.9645256053292,43.0868863401825,house
233606,461646054,4/23/2012,2:14:00,NIGHT PARKING - WRONG SIDE,3405 W GREENFIELD AVE,"Milwaukee, WI",-87.9566114905529,43.016822,house
547521,464834720,9/25/2012,4:56:00,NIGHT PARKING - WRONG SIDE,3025 S 33RD ST,"Milwaukee, WI",-87.9557002046379,42.9894715670766,house
740089,466742592,12/29/2012,5:06:00,NIGHT PARKING - WRONG SIDE,1129 E MEINECKE AVE,"Milwaukee, WI",-87.8974819977401,43.0619250427687,house
186171,459812920,3/29/2012,14:12:00,METER PARKING VIOLATION,1215 W VLIET ST,"Milwaukee, WI",-87.927604,43.0486173333333,house
450224,464005905,8/9/2012,7:31:00,RESIDENTIAL PARKING PROGRAM,3054 N BARTLETT AVE,"Milwaukee, WI",-87.8889903731011,43.073830753346,house
131022,460507493,3/2/2012,10:46:00,METER PARKING VIOLATION,713 N BROADWAY,"Milwaukee, WI",,,
135075,460591051,3/5/2012,22:13:00,FAILURE TO PARK IN DEFINED ANGLE SPACE,903 E KILBOURN AVE,"Milwaukee, WI",-87.9004746666667,43.0428688333333,house
542538,464631904,9/22/2012,11:16:00,METER PARKING VIOLATION,2319 E KENWOOD BLVD,"Milwaukee, WI",-87.8813424336919,43.0745581157866,house
7640,459095431,1/5/2012,5:50:00,NIGHT PARKING,4456 N 28TH ST,"Milwaukee, WI",-87.9479158667863,43.0983438045688,house
360077,462896302,6/22/2012,2:32:00,NIGHT PARKING,2636 S 9TH PL,"Milwaukee, WI",-87.9236247967229,42.9969535364307,house
619750,465624714,10/31/2012,12:34:00,METER PARKING VIOLATION,714 E STATE ST,"Milwaukee, WI",-87.9029858629767,43.0439258127875,house
709936,466007581,12/13/2012,3:50:00,NIGHT PARKING - WRONG SIDE,1629 W BURNHAM ST,"Milwaukee, WI",-87.9334688571429,43.0101167142857,house
42397,459583235,1/23/2012,17:37:00,PARKED IN EXCESS OF 1 HOUR PROHIBITED,1571 W EUCLID AVE,"Milwaukee, WI",-87.93320916062,42.9864594366724,house
563900,464729160,10/3/2012,5:52:00,NIGHT PARKING - WRONG SIDE,2523 S LOGAN AVE,"Milwaukee, WI",-87.8969425000103,42.9990115023584,house
480161,464266434,8/24/2012,5:34:00,NIGHT PARKING,358 E BECHER ST,"Milwaukee, WI",-87.9048353529889,43.0068378869379,house
115868,460458331,2/24/2012,14:16:00,METER PARKING VIOLATION,816 N 7TH ST ST,"Milwaukee, WI",,,
55075,459549230,1/27/2012,3:51:00,NIGHT PARKING,1314 S 22 ST,"Milwaukee, WI",,,
428115,463537104,7/30/2012,4:55:00,NIGHT PARKING,1255 N 45TH ST,"Milwaukee, WI",-87.9703665342733,43.0467944457842,house
113577,460327906,2/23/2012,8:00:00,PARKING PROHIBITED BY OFFICIAL SIGN,3249 S PENNSYLVANIA AVE,"Milwaukee, WI",-87.8795828910562,42.9852865601796,house
724243,466434732,12/20/2012,2:45:00,NIGHT PARKING - WRONG SIDE,2924 N BOOTH ST,"Milwaukee, WI",-87.9039116599319,43.0716375313949,house
712494,466637916,12/14/2012,7:56:00,RESIDENTIAL PARKING PROGRAM,3226 N BARTLETT AVE,"Milwaukee, WI",-87.8889319416906,43.0762501058794,house
485528,464189025,8/27/2012,14:57:00,PARKED IN EXCESS OF 2 HOURS PROHIBITED,904 E KILBOURN AVE,"Milwaukee, WI",-87.9004695,43.04286925,house
585567,465065484,10/13/2012,13:55:00,PARKED IN EXCESS OF 2 HOURS PROHIBITED,311 E BUFFALO ST,"Milwaukee, WI",-87.9069859069665,43.0337733685619,house
552259,464871072,9/27/2012,17:30:00,METER PARKING VIOLATION,508 E WISCONSIN AVE,"Milwaukee, WI",-87.9050357241923,43.0389054807028,house
315228,462446180,5/31/2012,17:25:00,METER PARKING VIOLATION,120 E HIGHLAND AVE,"Milwaukee, WI",-87.9119512515848,43.0446062648574,house
441890,463906203,8/6/2012,16:35:00,METER PARKING VIOLATION,727 N PLANKINTON AV,"Milwaukee, WI",-87.9117080910178,43.0390980765385,house
447026,463833215,8/8/2012,2:55:00,NIGHT PARKING,4139 N 69TH ST,"Milwaukee, WI",-87.9983526189354,43.0925452210636,house
291259,462357372,5/18/2012,5:53:00,NIGHT PARKING - INELIGIBLE VEHICLE,2589 N FARWELL AVE,"Milwaukee, WI",-87.8819068410107,43.0657970988588,house
585064,464924736,10/13/2012,2:44:00,NIGHT PARKING,1416 N DR. M.L. KING JR. DR,"Milwaukee, WI",,,
436050,463509675,8/2/2012,2:57:00,NIGHT PARKING,521 N 32ND ST,"Milwaukee, WI",-87.9541301382314,43.0365039954521,house
238322,461486594,4/25/2012,2:59:00,NIGHT PARKING,3472 S 91ST ST,"Milwaukee, WI",-88.0260450583971,42.9813769998227,house
307586,462153904,5/26/2012,14:12:00,METER PARKING VIOLATION,2224 S KINNICKINNIC AVE,"Milwaukee, WI",-87.9075015,43.0070774,secondary
517604,464532165,9/11/2012,13:58:00,PARKED IN EXCESS OF 2 HOURS PROHIBITED,811 E KNAPP ST,"Milwaukee, WI",-87.9019797115729,43.0468419183458,house
42750,459687056,1/23/2012,8:54:00,METER PARKING VIOLATION,2311 N PROSPECT AVE,"Milwaukee, WI",-87.8837600081076,43.0602957210604,house
232291,461043866,4/23/2012,13:02:00,METER PARKING VIOLATION,636 N 2ND ST,"Milwaukee, WI",-87.912939921116,43.0379065919629,house
672770,465934652,11/28/2012,5:42:00,NIGHT PARKING,1239 E CRAWFORD AVE,"Milwaukee, WI",-87.8939769822244,42.9754942061076,house
721057,466225270,12/19/2012,12:14:00,METER PARKING VIOLATION,745 N 9TH ST,"Milwaukee, WI",-87.9232138074951,43.0394597637707,house
196305,461290524,4/4/2012,11:33:00,PARKED WRONG DIRECTION,2502 E WEBSTER PL,"Milwaukee, WI",-87.8791643276725,43.0649827722887,house
242560,461191916,4/27/2012,13:44:00,METER PARKING VIOLATION,824 N JEFFERSON ST,"Milwaukee, WI",-87.905452697123,43.0416470145549,house
573815,465080346,10/8/2012,4:31:00,NIGHT PARKING - WRONG SIDE,3808 N 38TH ST,"Milwaukee, WI",-87.9606958007065,43.086201758318,house
107494,460340510,2/21/2012,3:48:00,NIGHT PARKING - WRONG SIDE,1655 S 20 ST,"Milwaukee, WI",,,
91363,460183253,2/14/2012,3:02:00,NIGHT PARKING,8609 N 106TH ST,"Milwaukee, WI",-88.0430049825922,43.174052997242,house
253280,461956740,5/2/2012,4:04:00,NIGHT PARKING,3171 N RICHARDS ST,"Milwaukee, WI",-87.9077769683863,43.0759960869677,house
474,458969862,1/2/2012,13:01:00,PARKED IN EXCESS OF 2 HOURS PROHIBITED,1551 E BRADY ST,"Milwaukee, WI",-87.8918134452486,43.0525772477116,house
196280,461169133,4/4/2012,4:34:00,NIGHT PARKING - WRONG SIDE,706 N 32ND ST,"Milwaukee, WI",-87.9543028490008,43.0389465869724,house
436989,463300891,8/2/2012,2:41:00,NIGHT PARKING - WRONG SIDE,2458 N 54TH ST,"Milwaukee, WI",-87.9808317142857,43.0635489183673,house
192671,460913725,4/2/2012,2:16:00,NIGHT PARKING - WRONG SIDE,3770 S 2ND ST,"Milwaukee, WI",-87.9130473725572,42.9759664203674,house
414465,463441156,7/21/2012,16:43:00,PARKED IN EXCESS OF 2 HOURS PROHIBITED,154 N JEFFERSON ST,"Milwaukee, WI",-87.9043275543412,43.0318048469945,house
270713,461888195,5/9/2012,16:45:00,METER PARKING VIOLATION,343 N BROADWAY,"Milwaukee, WI",,,
428542,463497753,7/30/2012,12:42:00,METER PARKING VIOLATION,3130 N DOWNER AVE,"Milwaukee, WI",-87.877824,43.074755,house
372620,463001486,6/29/2012,12:57:00,METER PARKING VIOLATION,302 W WELLS ST,"Milwaukee, WI",-87.914713306597,43.040239,house
117879,459221943,2/25/2012,23:26:00,PARKED WRONG DIRECTION,535 W BRUCE ST,"Milwaukee, WI",-87.9173720609843,43.0252168501471,house
52147,459765165,1/26/2012,5:26:00,NIGHT PARKING,2715 W FAIRMOUNT AVE,"Milwaukee, WI",-87.9468537147586,43.1080511861434,house
25171,459520725,1/12/2012,13:03:00,METER PARKING VIOLATION,1033 N OLD WORLD THIRD STREET,"Milwaukee, WI",,,
136259,460537792,3/5/2012,13:45:00,METER PARKING VIOLATION,830 N MILWAUKEE ST,"Milwaukee, WI",-87.9067153447671,43.0416331335238,house
608677,465327225,10/25/2012,14:39:00,PARKED IN EXCESS OF 2 HOURS PROHIBITED,1710 N PROSPECT AVE,"Milwaukee, WI",-87.8905606012025,43.0528652616374,house
221198,461636490,4/17/2012,5:20:00,NIGHT PARKING,1901 N SUMMIT AVE,"Milwaukee, WI",-87.888057,43.054219,house
503078,464275276,9/5/2012,12:32:00,METER PARKING VIOLATION,725 N 8TH ST,"Milwaukee, WI",-87.9217952023364,43.0392193870392,house
130677,460394620,3/2/2012,3:16:00,NIGHT PARKING,3805 W CUSTER AVE,"Milwaukee, WI",-87.9601770309837,43.115523844634,house
531946,464433196,9/18/2012,7:11:00,IMPROPERLY DISPLAYED VEHICLE REGISTRATION,4251 N 84TH ST,"Milwaukee, WI",-88.0175770740598,43.0943800682282,house
554496,464891453,9/28/2012,6:04:00,VEH FOR SALE ON PUBLIC PROPERTY,2826 S ELLEN ST,"Milwaukee, WI",-87.8870299300928,42.9914860604441,house
706619,466460120,12/12/2012,2:23:00,NIGHT PARKING - WINTER RESTRICTED,2412 N 35TH ST,"Milwaukee, WI",-87.9573757907808,43.0627647508465,house
65077,459724252,2/1/2012,3:03:00,NIGHT PARKING - WRONG SIDE,7418 W CARMEN AVE,"Milwaukee, WI",-88.0037570226993,43.1232875895847,house
223469,461477450,4/18/2012,12:57:00,METER PARKING VIOLATION,504 E KILBOURN AV,"Milwaukee, WI",-87.9054635643139,43.0426442551618,house
53731,459800202,1/27/2012,2:51:00,NIGHT PARKING - WRONG SIDE,1139 S 34 ST,"Milwaukee, WI",,,
139746,460552315,3/7/2012,2:13:00,NIGHT PARKING - WRONG SIDE,1603 N 57TH ST,"Milwaukee, WI",-87.984302,43.0517426535815,house
262467,461887042,5/7/2012,5:11:00,NIGHT PARKING,3672 S HERMAN ST,"Milwaukee, WI",-87.8956292114568,42.9777688007117,house
105864,460180582,2/20/2012,13:31:00,PARKING PROHIBITED BY OFFICIAL SIGN,1800 E LINNWOOD AVE,"Milwaukee, WI",-87.887723,43.072897,house
402165,463354975,7/16/2012,20:51:00,PARKING PROHIBITED BY OFFICIAL SIGN,1517 W GRANGE AVE,"Milwaukee, WI",-87.9324200106451,42.9446889545422,house
555490,464706340,9/28/2012,5:56:00,NIGHT PARKING - WRONG SIDE,4628 W HADLEY ST,"Milwaukee, WI",-87.9715902835754,43.0698262109534,house
289089,462240321,5/18/2012,3:34:00,NIGHT PARKING,3432 N FRATNEY ST,"Milwaukee, WI",-87.9011948623988,43.0805297152333,house
669874,466062472,11/27/2012,10:23:00,PARKED WITHIN 10 FEET OF FIRE HYDRANT,1325 W ST PAUL AVE,"Milwaukee, WI",-87.9287402123892,43.0346637289668,house
251736,461776921,5/2/2012,13:30:00,PARKED IN EXCESS OF 2 HOURS PROHIBITED,3956 N 65TH ST,"Milwaukee, WI",-87.9932102318331,43.0891382835303,house
485862,463793212,8/27/2012,10:21:00,PARKED IN EXCESS OF 1 HOUR PROHIBITED,1138 N 9TH ST,"Milwaukee, WI",-87.9230382,43.0431051,unclassified
409015,463544616,7/19/2012,2:07:00,NIGHT PARKING - WRONG SIDE,3341 S 99TH CT,"Milwaukee, WI",,,
208331,461236182,4/10/2012,5:24:00,NIGHT PARKING - WRONG SIDE,1528 W CLARKE ST,"Milwaukee, WI",-87.9317600062895,43.0659596465984,house
74945,459783962,2/6/2012,13:50:00,PARKED IN EXCESS OF 2 HOURS PROHIBITED,2707 S 14 ST,"Milwaukee, WI",,,
615440,465582795,10/30/2012,12:27:00,IMPROPERLY DISPLAYED VEHICLE REGISTRATION,2623 E BELLEVIEW PL,"Milwaukee, WI",-87.8777279064954,43.0658925561392,house
395889,463201266,7/12/2012,17:26:00,TOW-AWAY ZONE (POSTED),240 N BROADWAY,"Milwaukee, WI",-87.907417,43.0350565,secondary
685071,466029900,12/4/2012,5:16:00,NIGHT PARKING - WRONG SIDE,902 E WELLS ST,"Milwaukee, WI",-87.9003438940735,43.0416610980418,house
690199,466304661,12/5/2012,5:14:00,NIGHT PARKING - WRONG SIDE,1217 S 21ST ST,"Milwaukee, WI",-87.9395935062297,43.0188306871675,house
526421,464704903,9/15/2012,2:17:00,NIGHT PARKING - WRONG SIDE,4443 N 46TH ST,"Milwaukee, WI",-87.9707981038666,43.0982247239165,house
631652,465704665,11/6/2012,2:22:00,NIGHT PARKING - WRONG SIDE,3304 W GREENFIELD AVE,"Milwaukee, WI",-87.95533173314,43.0169945647962,house
499251,464395595,9/4/2012,13:44:00,METER PARKING VIOLATION,821 E WELLS ST,"Milwaukee, WI",-87.90140428975,43.041431291003,house
278598,462213135,5/14/2012,12:59:00,METER PARKING VIOLATION,525 N JEFFERSON ST,"Milwaukee, WI",-87.9051491546845,43.0367376541241,house
307988,462488003,5/26/2012,3:54:00,NIGHT PARKING,5273 N LOVERS LANE RD,"Milwaukee, WI",-88.0558299460643,43.1127540400453,house
479754,463930924,8/24/2012,15:46:00,METER PARKING VIOLATION,410 W NATIONAL AVE,"Milwaukee, WI",-87.9157100622293,43.023298,house
353482,462920054,6/20/2012,2:14:00,NIGHT PARKING,3805 W GALENA ST,"Milwaukee, WI",-87.9610106363636,43.0514253636364,house
717261,466712363,12/18/2012,9:08:00,METER PARKING VIOLATION,525 CHICAGO ST,"Milwaukee, WI",-87.8097179565217,42.7266867826087,house
546836,464872446,9/25/2012,4:02:00,NIGHT PARKING - WRONG SIDE,4162 S LOGAN AVE,"Milwaukee, WI",-87.8963795518659,42.9689315108645,house
561691,464894673,10/2/2012,14:20:00,METER PARKING VIOLATION,935 N BROADWAY,"Milwaukee, WI",,,
233223,461686595,4/23/2012,11:12:00,METER PARKING VIOLATION,3076 N FARWELL AVE,"Milwaukee, WI",-87.8815699370475,43.0741619570939,house
724066,466434953,12/20/2012,3:52:00,NIGHT PARKING - WRONG SIDE,216 W BROWN ST,"Milwaukee, WI",-87.9130827157656,43.0565522654034,house
627424,465407946,11/3/2012,2:50:00,NIGHT PARKING,4420 N 69TH ST,"Milwaukee, WI",-87.9980857371345,43.0977146129165,house
530042,464776115,9/18/2012,5:10:00,NIGHT PARKING,1214 W WALKER ST,"Milwaukee, WI",-87.927563902535,43.0222450967064,house
398207,462706635,7/13/2012,6:38:00,TOW-AWAY ZONE (BLOCKING TRAFFIC),2224 S 35TH ST,"Milwaukee, WI",-87.9577240488365,43.004309010886,house
320360,462253481,6/3/2012,11:09:00,FAILURE TO PARK IN DEFINED ANGLE SPACE,1138 S 7 ST,"Milwaukee, WI",,,
610923,465490200,10/26/2012,4:28:00,NIGHT PARKING - WRONG SIDE,9400 W MELVINA ST,"Milwaukee, WI",-88.0314396320137,43.0888030054416,house
90191,460095786,2/13/2012,3:37:00,NIGHT PARKING,2122 W KILBOURN AVE,"Milwaukee, WI",-87.9397053286688,43.0416933591901,house
130893,460579884,3/2/2012,7:27:00,IMPROPERLY DISPLAYED VEHICLE REGISTRATION,1363 N 54TH ST,"Milwaukee, WI",-87.9813720326752,43.0486406979494,house
318916,462279425,6/2/2012,3:43:00,NIGHT PARKING,189 N 75TH ST,"Milwaukee, WI",-88.0061335042045,43.0330450031424,house
340241,462770685,6/13/2012,22:49:00,IMPROPERLY DISPLAYED VEHICLE REGISTRATION,1903 E PARK PL,"Milwaukee, WI",-87.8865365929631,43.067302769912,house
343396,462810084,6/14/2012,5:13:00,NIGHT PARKING - WRONG SIDE,2420 N 41ST ST,"Milwaukee, WI",-87.9645006006304,43.0628832059721,house
578832,465324263,10/10/2012,7:20:00,PARKED LESS THAN 15 FEET FROM CROSSWALK,1733 W KILBOURN AVE,"Milwaukee, WI",-87.9346168776506,43.041527579185,house
50486,459644566,1/26/2012,16:22:00,METER PARKING VIOLATION,1610 W WISCONSIN AVE,"Milwaukee, WI",-87.9332185314844,43.0387500365716,house
358180,462823922,6/22/2012,5:05:00,NIGHT PARKING,2013 N 40TH ST,"Milwaukee, WI",-87.9636357667546,43.0566807829396,house
94533,460108714,2/15/2012,0:39:00,PARKED LESS THAN 15 FEET FROM CROSSWALK,732 E KNAPP ST,"Milwaukee, WI",-87.9030285952549,43.0470125602335,house
673304,466069240,11/28/2012,20:47:00,METER PARKING VIOLATION,1547 N FARWELL AVE,"Milwaukee, WI",-87.8946483,43.05072,hairdresser
301544,462163074,5/24/2012,11:35:00,PARKED IN EXCESS OF 2 HOURS PROHIBITED,2800 N FARWELL AVE,"Milwaukee, WI",-87.881642,43.069429,house
16366,459386524,1/9/2012,4:00:00,NIGHT PARKING,220 W MAPLE ST,"Milwaukee, WI",-87.9129527120051,43.0111366206507,house
720509,466684212,12/19/2012,3:22:00,NIGHT PARKING - WRONG SIDE,2111 E FERNWOOD AVE,"Milwaukee, WI",-87.883539486161,42.9864161900071,house
602182,465389875,10/23/2012,11:22:00,METER PARKING VIOLATION,257 E WELLS ST,"Milwaukee, WI",-87.9090802581059,43.0409497517433,house
69421,459951645,2/3/2012,10:55:00,METER PARKING VIOLATION,420 E MENOMONEE ST,"Milwaukee, WI",-87.9053314139758,43.0316249173672,house
695362,466368571,12/7/2012,6:08:00,PARKING PROHIBITED BY OFFICIAL SIGN,3034 N 23RD ST,"Milwaukee, WI",-87.9410037970217,43.073979817414,house
677748,466137103,11/30/2012,13:42:00,METER PARKING VIOLATION,418 E KILBOURN AV,"Milwaukee, WI",-87.9065881816624,43.0425733011461,house
493703,464383710,8/30/2012,12:37:00,METER PARKING VIOLATION,224 E ST PAUL AV,"Milwaukee, WI",-87.9083484660735,43.0350591808725,house
342334,462643694,6/13/2012,13:27:00,PARKED IN EXCESS OF 2 HOURS PROHIBITED,770 N WATER ST,"Milwaukee, WI",-87.909276,43.040284,house
82916,460015625,2/9/2012,4:50:00,NIGHT PARKING,3278 N DOUSMAN ST,"Milwaukee, WI",-87.8963114124489,43.0779687121676,house
351299,462864581,6/19/2012,17:37:00,METER PARKING VIOLATION,443 E COCORAN ST,"Milwaukee, WI",,,
118077,460366852,2/25/2012,2:49:00,NIGHT PARKING - WRONG SIDE,2547 N 56TH ST,"Milwaukee, WI",-87.983125,43.065669,house
432548,463702105,8/1/2012,5:34:00,NIGHT PARKING - WRONG SIDE,1860 N 40TH ST,"Milwaukee, WI",-87.96353069018,43.05472492674,house
144501,460351802,3/8/2012,2:49:00,NIGHT PARKING - WRONG SIDE,2916 S HERMAN ST,"Milwaukee, WI",-87.8954562046436,42.9918875650453,house
11126,459401342,1/6/2012,3:44:00,NIGHT PARKING,2915 W CHERRY ST,"Milwaukee, WI",-87.9503081403463,43.0499813915565,house
733407,466792642,12/27/2012,5:44:00,NIGHT PARKING - WINTER RESTRICTED,3726 W GREEN TREE RD,"Milwaukee, WI",-87.9577526356173,43.141308602571,house
520538,464573266,9/12/2012,21:33:00,METER PARKING VIOLATION,2353 N FARWELL LOT,"Milwaukee, WI",,,
364264,463132235,6/26/2012,3:04:00,NIGHT PARKING,2951 N CRAMER ST,"Milwaukee, WI",-87.886771765192,43.0719369669415,house
383764,463192446,7/6/2012,13:01:00,METER PARKING VIOLATION,604 W WISCONSIN AVE,"Milwaukee, WI",-87.9191835512995,43.038889,house
301033,462295245,5/23/2012,14:41:00,METER PARKING VIOLATION,423  E ST PAUL AVE,"Milwaukee, WI",-87.9057237705302,43.0350616190784,house
339860,462616490,6/13/2012,17:03:00,METER PARKING VIOLATION,222 W STATE ST,"Milwaukee, WI",-87.9139990204082,43.043006877551,house
274304,461923571,5/11/2012,4:47:00,NIGHT PARKING,2480 S SUPERIOR ST,"Milwaukee, WI",-87.8901923296905,42.9997105201786,house
678135,466209995,11/30/2012,4:35:00,NIGHT PARKING,1310 S 10TH ST,"Milwaukee, WI",-87.923831,43.0178687959184,house
543704,464759805,9/24/2012,4:56:00,NIGHT PARKING,2425 S 30TH ST,"Milwaukee, WI",-87.9519163673469,43.0007894693878,house
297937,462105210,5/22/2012,2:51:00,NIGHT PARKING,5131 N 63 ST,"Milwaukee, WI",,,
468065,463676780,8/18/2012,3:09:00,NIGHT PARKING - WRONG SIDE,3882 N 5TH ST,"Milwaukee, WI",-87.9158725067373,43.0877713328578,house
534108,464655472,9/19/2012,3:57:00,NIGHT PARKING,2237 S 26TH ST,"Milwaukee, WI",-87.9466945730322,43.0042318814894,house
513330,464445881,9/10/2012,2:51:00,NIGHT PARKING - WRONG SIDE,4802 W LLOYD ST,"Milwaukee, WI",-87.9737504492807,43.057193,house
